GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),Engine Coolant Temperature(°F)
Thu Jul 20 17:12:01 GMT+02:00 2023,20-lip-2023 17:12:01.995,22.54810499,51.23972283,0.0,3.8710684776306152,225.11553955078125,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:02 GMT+02:00 2023,20-lip-2023 17:12:02.995,22.54809793,51.2397345,0.0,3.7900924682617188,226.65447998046875,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:03 GMT+02:00 2023,20-lip-2023 17:12:03.996,22.54809622,51.23973788,0.0,3.7900924682617188,227.45562744140625,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:04 GMT+02:00 2023,20-lip-2023 17:12:04.997,22.54809652,51.23974739,0.0,3.7900924682617188,227.26385498046875,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:05 GMT+02:00 2023,20-lip-2023 17:12:05.998,22.54809793,51.23974817,0.0,3.7900924682617188,227.64990234375,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:06 GMT+02:00 2023,20-lip-2023 17:12:06.999,22.54810147,51.23974997,0.0,3.7900924682617188,228.2005615234375,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:07 GMT+02:00 2023,20-lip-2023 17:12:07.999,22.54810604,51.23975437,0.0,3.7900924682617188,228.60723876953125,0.0,-0.02,0.99,-0.21,69.799999
Thu Jul 20 17:12:08 GMT+02:00 2023,20-lip-2023 17:12:08.999,22.54810962,51.23975863,0.0,3.7900924682617188,228.3974609375,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:09 GMT+02:00 2023,20-lip-2023 17:12:09.999,22.54811497,51.23976357,0.0,3.7900924682617188,228.1629638671875,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:10 GMT+02:00 2023,20-lip-2023 17:12:10.998,22.54811901,51.23976836,0.0,3.7900924682617188,227.9405517578125,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:12 GMT+02:00 2023,20-lip-2023 17:12:12.864,22.54812314,51.23977871,0.0,3.7900924682617188,227.00750732421875,0.0,-0.02,0.99,-0.2,69.799999
Thu Jul 20 17:12:13 GMT+02:00 2023,20-lip-2023 17:12:13.864,22.5481251,51.23978097,0.0,3.7900924682617188,226.9622802734375,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:14 GMT+02:00 2023,20-lip-2023 17:12:14.865,22.54812519,51.23978148,0.0,3.7900924682617188,226.97125244140625,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:15 GMT+02:00 2023,20-lip-2023 17:12:15.865,22.54812106,51.23977932,0.0,3.7900924682617188,226.937255859375,0.0,-0.02,0.99,-0.21,69.799999
Thu Jul 20 17:12:16 GMT+02:00 2023,20-lip-2023 17:12:16.865,22.54812134,51.23977671,0.0,3.7900924682617188,226.4384765625,0.0,-0.02,0.99,-0.21,69.799999
Thu Jul 20 17:12:17 GMT+02:00 2023,20-lip-2023 17:12:17.867,22.54811576,51.23977451,0.0,3.7900924682617188,226.50848388671875,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:18 GMT+02:00 2023,20-lip-2023 17:12:18.867,22.54811606,51.23977452,0.0,3.7900924682617188,226.25958251953125,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:19 GMT+02:00 2023,20-lip-2023 17:12:19.867,22.54811836,51.23977566,0.0,3.7900924682617188,226.0191650390625,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:20 GMT+02:00 2023,20-lip-2023 17:12:20.867,22.54811695,51.23977279,0.0,3.7900924682617188,225.8177490234375,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:21 GMT+02:00 2023,20-lip-2023 17:12:21.868,22.54811707,51.23976772,0.0,3.7900924682617188,225.3389892578125,0.0,-0.02,0.98,-0.2,69.799999
Thu Jul 20 17:12:22 GMT+02:00 2023,20-lip-2023 17:12:22.867,22.54811902,51.23976315,0.0,3.7900924682617188,224.848388671875,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:23 GMT+02:00 2023,20-lip-2023 17:12:23.868,22.54811247,51.23975973,0.0,3.7900924682617188,224.46490478515625,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:24 GMT+02:00 2023,20-lip-2023 17:12:24.866,22.54811032,51.23975883,0.0,3.7900924682617188,224.1475830078125,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:25 GMT+02:00 2023,20-lip-2023 17:12:25.867,22.54810917,51.2397569,0.0,3.7900924682617188,223.98431396484375,0.0,-0.02,0.98,-0.21,69.799999
Thu Jul 20 17:12:26 GMT+02:00 2023,20-lip-2023 17:12:26.868,22.54811122,51.2397512,0.0,3.7900924682617188,223.326416015625,0.0,-0.02,0.98,-0.2,69.799999
Thu Jul 20 17:12:27 GMT+02:00 2023,20-lip-2023 17:12:27.869,22.54811249,51.23974827,0.0,3.7900924682617188,223.1641845703125,0.0,0.44,0.76,0.07,69.799999
Thu Jul 20 17:12:28 GMT+02:00 2023,20-lip-2023 17:12:28.869,22.54810976,51.23975005,0.6119999902248381,3.7900924682617188,223.00396728515625,227.10000610351562,0.16,0.53,0.69,69.799999
Thu Jul 20 17:12:29 GMT+02:00 2023,20-lip-2023 17:12:29.870,22.54810514,51.23974968,0.0,3.7900924682617188,223.026611328125,0.0,-0.34,0.47,-0.41,71.59999895
Thu Jul 20 17:12:30 GMT+02:00 2023,20-lip-2023 17:12:30.870,22.54810016,51.23975082,0.0,3.7900924682617188,223.65313720703125,0.0,-0.85,-0.19,-0.6,71.59999895
Thu Jul 20 17:12:31 GMT+02:00 2023,20-lip-2023 17:12:31.871,22.54810096,51.23975063,0.0,3.7900924682617188,223.45098876953125,0.0,-0.96,0.38,-0.42,71.59999895
Thu Jul 20 17:12:32 GMT+02:00 2023,20-lip-2023 17:12:32.871,22.54809956,51.23975231,0.0,4.057663917541504,223.53704833984375,0.0,-0.09,0.61,0.68,71.59999895
Thu Jul 20 17:12:33 GMT+02:00 2023,20-lip-2023 17:12:33.871,22.54809444,51.23974872,0.0,3.8947505950927734,223.33404541015625,0.0,0.03,0.34,0.87,71.59999895
Thu Jul 20 17:12:34 GMT+02:00 2023,20-lip-2023 17:12:34.870,22.54809117,51.23974378,0.0,3.7900924682617188,223.427001953125,0.0,0.01,0.5,0.73,71.59999895
Thu Jul 20 17:12:35 GMT+02:00 2023,20-lip-2023 17:12:35.871,22.54808025,51.23973817,0.0,3.7900924682617188,222.9329833984375,0.0,-0.08,0.65,0.62,71.59999895
Thu Jul 20 17:12:36 GMT+02:00 2023,20-lip-2023 17:12:36.871,22.54807699,51.23973353,0.0,3.7900924682617188,223.05584716796875,0.0,0.08,0.4,0.8,71.59999895
Thu Jul 20 17:12:38 GMT+02:00 2023,20-lip-2023 17:12:38.598,22.54807597,51.23972501,0.0,3.7900924682617188,222.53192138671875,0.0,0.09,0.4,0.8,71.59999895
Thu Jul 20 17:12:39 GMT+02:00 2023,20-lip-2023 17:12:39.598,22.5480756,51.23972159,0.0,3.7900924682617188,222.19537353515625,0.0,0.09,0.41,0.8,71.59999895
Thu Jul 20 17:12:40 GMT+02:00 2023,20-lip-2023 17:12:40.597,22.54808373,51.23971839,0.0,3.7900924682617188,221.74969482421875,0.0,0.09,0.42,0.79,71.59999895
Thu Jul 20 17:12:41 GMT+02:00 2023,20-lip-2023 17:12:41.598,22.54808404,51.2397165,0.0,3.7900924682617188,221.3642578125,0.0,0.1,0.43,0.79,71.59999895
Thu Jul 20 17:12:42 GMT+02:00 2023,20-lip-2023 17:12:42.598,22.54808508,51.23971316,0.0,3.7900924682617188,220.90185546875,0.0,0.05,0.45,0.78,71.59999895
Thu Jul 20 17:12:43 GMT+02:00 2023,20-lip-2023 17:12:43.598,22.54808236,51.23971092,0.0,3.7900924682617188,220.3951416015625,0.0,0.04,0.47,0.77,71.59999895
Thu Jul 20 17:12:44 GMT+02:00 2023,20-lip-2023 17:12:44.598,22.54808051,51.23971039,0.0,3.7900924682617188,219.9765625,0.0,0.02,0.49,0.76,71.59999895
Thu Jul 20 17:12:45 GMT+02:00 2023,20-lip-2023 17:12:45.599,22.54807757,51.23971006,0.0,3.7900924682617188,220.07952880859375,0.0,0.02,0.53,0.74,71.59999895
Thu Jul 20 17:12:46 GMT+02:00 2023,20-lip-2023 17:12:46.599,22.5480763,51.23970753,0.0,3.7900924682617188,219.9605712890625,0.0,0.05,0.47,0.78,71.59999895
Thu Jul 20 17:12:47 GMT+02:00 2023,20-lip-2023 17:12:47.600,22.54807618,51.23970632,0.0,3.7900924682617188,219.6614990234375,0.0,0.06,0.46,0.77,71.59999895
Thu Jul 20 17:12:48 GMT+02:00 2023,20-lip-2023 17:12:48.600,22.54807682,51.23970489,0.0,3.7900924682617188,219.43994140625,0.0,0.05,0.48,0.77,73.3999989
Thu Jul 20 17:12:49 GMT+02:00 2023,20-lip-2023 17:12:49.601,22.5480776,51.23970434,0.0,3.7900924682617188,219.24932861328125,0.0,-0.09,0.69,0.58,73.3999989
Thu Jul 20 17:12:50 GMT+02:00 2023,20-lip-2023 17:12:50.601,22.54807752,51.23970798,0.0,3.7900924682617188,219.3619384765625,0.0,-0.03,0.64,0.64,73.3999989
Thu Jul 20 17:12:51 GMT+02:00 2023,20-lip-2023 17:12:51.603,22.54807929,51.23970843,0.0,3.7900924682617188,219.7935791015625,0.0,-0.05,0.6,0.65,73.3999989
Thu Jul 20 17:12:52 GMT+02:00 2023,20-lip-2023 17:12:52.604,22.54808064,51.23970956,0.0,3.7900924682617188,220.0108642578125,0.0,0.02,0.5,0.76,73.3999989
Thu Jul 20 17:12:53 GMT+02:00 2023,20-lip-2023 17:12:53.604,22.5480796,51.23970842,0.0,3.7900924682617188,220.04840087890625,0.0,0.01,0.51,0.75,73.3999989
Thu Jul 20 17:12:54 GMT+02:00 2023,20-lip-2023 17:12:54.604,22.54807959,51.23970711,0.0,3.7900924682617188,219.9708251953125,0.0,0.01,0.51,0.75,73.3999989
Thu Jul 20 17:12:55 GMT+02:00 2023,20-lip-2023 17:12:55.604,22.5480784,51.23970735,0.0,3.7900924682617188,219.9251708984375,0.0,0.03,0.46,0.79,73.3999989
Thu Jul 20 17:12:56 GMT+02:00 2023,20-lip-2023 17:12:56.604,22.5480733,51.23970635,0.0,3.7900924682617188,220.152587890625,0.0,0.03,0.44,0.76,73.3999989
Thu Jul 20 17:12:57 GMT+02:00 2023,20-lip-2023 17:12:57.604,22.54807553,51.23970534,0.0,3.7900924682617188,220.0875244140625,0.0,-0.02,0.4,0.81,73.3999989
Thu Jul 20 17:12:58 GMT+02:00 2023,20-lip-2023 17:12:58.603,22.54807524,51.23970338,0.0,3.7900924682617188,220.3431396484375,0.0,-0.01,0.39,0.82,73.3999989
Thu Jul 20 17:12:59 GMT+02:00 2023,20-lip-2023 17:12:59.604,22.54807744,51.23970255,0.0,3.7900924682617188,220.6204833984375,0.0,0.0,0.41,0.8,73.3999989
Thu Jul 20 17:13:00 GMT+02:00 2023,20-lip-2023 17:13:00.603,22.5480786,51.23970247,0.0,3.7900924682617188,221.2235107421875,0.0,0.0,0.4,0.81,73.3999989
Thu Jul 20 17:13:01 GMT+02:00 2023,20-lip-2023 17:13:01.603,22.54808235,51.23970366,0.0,3.7900924682617188,221.32623291015625,0.0,-0.01,0.4,0.81,73.3999989
Thu Jul 20 17:13:02 GMT+02:00 2023,20-lip-2023 17:13:02.603,22.54807931,51.2397034,0.0,3.7900924682617188,221.67230224609375,0.0,0.01,0.44,0.78,75.19999886
Thu Jul 20 17:13:03 GMT+02:00 2023,20-lip-2023 17:13:03.604,22.54806764,51.23970194,0.0,3.7900924682617188,222.0677490234375,0.0,0.0,0.48,0.77,75.19999886
Thu Jul 20 17:13:04 GMT+02:00 2023,20-lip-2023 17:13:04.603,22.54806764,51.23969868,0.0,3.7900924682617188,222.1131591796875,0.0,0.0,0.47,0.77,75.19999886
Thu Jul 20 17:13:05 GMT+02:00 2023,20-lip-2023 17:13:05.604,22.54806176,51.23969698,0.0,3.7900924682617188,222.34405517578125,0.0,0.0,0.46,0.78,75.19999886
Thu Jul 20 17:13:06 GMT+02:00 2023,20-lip-2023 17:13:06.603,22.54806306,51.23969488,0.0,3.7900924682617188,222.71514892578125,0.0,0.0,0.47,0.77,75.19999886
Thu Jul 20 17:13:07 GMT+02:00 2023,20-lip-2023 17:13:07.603,22.54806061,51.23969517,0.0,3.7900924682617188,223.1033935546875,0.0,-0.03,0.49,0.75,75.19999886
Thu Jul 20 17:13:08 GMT+02:00 2023,20-lip-2023 17:13:08.603,22.54806004,51.23969481,0.0,3.7900924682617188,223.07684326171875,0.0,-0.01,0.47,0.77,76.99999881
Thu Jul 20 17:13:09 GMT+02:00 2023,20-lip-2023 17:13:09.604,22.54805975,51.23969592,0.0,3.7900924682617188,223.4007568359375,0.0,-0.01,0.46,0.78,76.99999881
Thu Jul 20 17:13:10 GMT+02:00 2023,20-lip-2023 17:13:10.605,22.54806057,51.23969606,0.0,3.7900924682617188,223.8406982421875,0.0,-0.01,0.48,0.76,76.99999881
Thu Jul 20 17:13:11 GMT+02:00 2023,20-lip-2023 17:13:11.605,22.54806186,51.23969648,0.0,3.7900924682617188,223.696533203125,0.0,0.0,0.47,0.78,76.99999881
Thu Jul 20 17:13:12 GMT+02:00 2023,20-lip-2023 17:13:12.605,22.54806574,51.23969721,0.0,3.7900924682617188,223.780517578125,0.0,0.0,0.46,0.77,76.99999881
Thu Jul 20 17:13:13 GMT+02:00 2023,20-lip-2023 17:13:13.605,22.54806228,51.23969876,0.0,3.7900924682617188,224.06475830078125,0.0,-0.01,0.48,0.77,76.99999881
Thu Jul 20 17:13:14 GMT+02:00 2023,20-lip-2023 17:13:14.605,22.54806214,51.23969885,0.0,3.7900924682617188,223.9564208984375,0.0,0.0,0.48,0.77,76.99999881
Thu Jul 20 17:13:15 GMT+02:00 2023,20-lip-2023 17:13:15.605,22.5480592,51.2397013,0.0,3.7900924682617188,224.18963623046875,0.0,0.0,0.48,0.77,76.99999881
Thu Jul 20 17:13:16 GMT+02:00 2023,20-lip-2023 17:13:16.608,22.54805762,51.23970432,0.0,3.7900924682617188,224.284423828125,0.0,0.0,0.48,0.77,78.79999876
Thu Jul 20 17:13:17 GMT+02:00 2023,20-lip-2023 17:13:17.608,22.54806206,51.23970674,0.0,3.7900924682617188,223.9920654296875,0.0,-0.01,0.47,0.77,78.79999876
Thu Jul 20 17:13:18 GMT+02:00 2023,20-lip-2023 17:13:18.609,22.54806268,51.23970855,0.0,3.7900924682617188,224.096923828125,0.0,0.06,0.42,0.8,78.79999876
Thu Jul 20 17:13:19 GMT+02:00 2023,20-lip-2023 17:13:19.609,22.54806358,51.23970929,0.0,3.7900924682617188,223.926025390625,0.0,0.05,0.42,0.8,78.79999876
Thu Jul 20 17:13:20 GMT+02:00 2023,20-lip-2023 17:13:20.609,22.54806924,51.23971074,0.0,3.7900924682617188,223.5379638671875,0.0,0.04,0.43,0.8,78.79999876
Thu Jul 20 17:13:21 GMT+02:00 2023,20-lip-2023 17:13:21.609,22.54807402,51.23970968,0.0,3.7900924682617188,223.20880126953125,0.0,0.04,0.43,0.79,78.79999876
Thu Jul 20 17:13:22 GMT+02:00 2023,20-lip-2023 17:13:22.609,22.54807528,51.23971178,0.0,3.7900924682617188,223.125244140625,0.0,0.04,0.44,0.79,78.79999876
Thu Jul 20 17:13:23 GMT+02:00 2023,20-lip-2023 17:13:23.609,22.54807689,51.23971324,0.0,3.7900924682617188,223.02386474609375,0.0,0.04,0.44,0.78,80.59999871
Thu Jul 20 17:13:24 GMT+02:00 2023,20-lip-2023 17:13:24.610,22.54807862,51.23971572,0.0,3.7900924682617188,222.928955078125,0.0,0.06,0.4,0.82,80.59999871
Thu Jul 20 17:13:25 GMT+02:00 2023,20-lip-2023 17:13:25.612,22.54808083,51.23971649,0.0,3.7900924682617188,222.81854248046875,0.0,0.03,0.43,0.79,80.59999871
Thu Jul 20 17:13:26 GMT+02:00 2023,20-lip-2023 17:13:26.612,22.54808371,51.23971828,0.0,3.7900924682617188,222.538330078125,0.0,0.0,0.47,0.78,80.59999871
Thu Jul 20 17:13:27 GMT+02:00 2023,20-lip-2023 17:13:27.612,22.54808415,51.23971883,0.0,3.7900924682617188,222.342529296875,0.0,-0.07,0.55,0.72,80.59999871
Thu Jul 20 17:13:28 GMT+02:00 2023,20-lip-2023 17:13:28.614,22.54808434,51.2397211,0.0,3.7900924682617188,222.59429931640625,0.0,-0.01,0.49,0.76,80.59999871
Thu Jul 20 17:13:29 GMT+02:00 2023,20-lip-2023 17:13:29.615,22.54808381,51.23972181,0.0,3.7900924682617188,222.77923583984375,0.0,-0.08,0.57,0.69,80.59999871
Thu Jul 20 17:13:30 GMT+02:00 2023,20-lip-2023 17:13:30.616,22.54808483,51.23972257,0.0,9.935046195983887,222.713623046875,0.0,-0.12,0.61,0.67,80.59999871
Thu Jul 20 17:13:31 GMT+02:00 2023,20-lip-2023 17:13:31.615,22.54808631,51.2397241,0.0,9.935046195983887,222.74737548828125,0.0,0.27,0.75,0.5,80.59999871
