 Device Time,GPS Speed(km/h),Engine Coolant Temperature(°F)
20-lip-2023 17:12:01.995,0.0,69.799999
20-lip-2023 17:12:02.995,0.0,69.799999
20-lip-2023 17:12:03.996,0.0,69.799999
20-lip-2023 17:12:04.997,0.0,69.799999
20-lip-2023 17:12:05.998,0.0,69.799999
20-lip-2023 17:12:06.999,0.0,69.799999
20-lip-2023 17:12:07.999,0.0,69.799999
20-lip-2023 17:12:08.999,0.0,69.799999
20-lip-2023 17:12:09.999,0.0,69.799999
20-lip-2023 17:12:10.998,0.0,69.799999
20-lip-2023 17:12:12.864,0.0,69.799999
20-lip-2023 17:12:13.864,0.0,69.799999
20-lip-2023 17:12:14.865,0.0,69.799999
20-lip-2023 17:12:15.865,0.0,69.799999
20-lip-2023 17:12:16.865,0.0,69.799999
20-lip-2023 17:12:17.867,0.0,69.799999
20-lip-2023 17:12:18.867,0.0,69.799999
20-lip-2023 17:12:19.867,0.0,69.799999
20-lip-2023 17:12:20.867,0.0,69.799999
20-lip-2023 17:12:21.868,0.0,69.799999
20-lip-2023 17:12:22.867,0.0,69.799999
20-lip-2023 17:12:23.868,0.0,69.799999
20-lip-2023 17:12:24.866,0.0,69.799999
20-lip-2023 17:12:25.867,0.0,69.799999
20-lip-2023 17:12:26.868,0.0,69.799999
20-lip-2023 17:12:27.869,0.0,69.799999
20-lip-2023 17:12:28.869,0.6119999902248381,69.799999
20-lip-2023 17:12:29.870,0.0,71.59999895
20-lip-2023 17:12:30.870,0.0,71.59999895
20-lip-2023 17:12:31.871,0.0,71.59999895
20-lip-2023 17:12:32.871,0.0,71.59999895
20-lip-2023 17:12:33.871,0.0,71.59999895
20-lip-2023 17:12:34.870,0.0,71.59999895
20-lip-2023 17:12:35.871,0.0,71.59999895
20-lip-2023 17:12:36.871,0.0,71.59999895
20-lip-2023 17:12:38.598,0.0,71.59999895
20-lip-2023 17:12:39.598,0.0,71.59999895
20-lip-2023 17:12:40.597,0.0,71.59999895
20-lip-2023 17:12:41.598,0.0,71.59999895
20-lip-2023 17:12:42.598,0.0,71.59999895
20-lip-2023 17:12:43.598,0.0,71.59999895
20-lip-2023 17:12:44.598,0.0,71.59999895
20-lip-2023 17:12:45.599,0.0,71.59999895
20-lip-2023 17:12:46.599,0.0,71.59999895
20-lip-2023 17:12:47.600,0.0,71.59999895
20-lip-2023 17:12:48.600,0.0,73.3999989
20-lip-2023 17:12:49.601,0.0,73.3999989
20-lip-2023 17:12:50.601,0.0,73.3999989
20-lip-2023 17:12:51.603,0.0,73.3999989
20-lip-2023 17:12:52.604,0.0,73.3999989
20-lip-2023 17:12:53.604,0.0,73.3999989
20-lip-2023 17:12:54.604,0.0,73.3999989
20-lip-2023 17:12:55.604,0.0,73.3999989
20-lip-2023 17:12:56.604,0.0,73.3999989
20-lip-2023 17:12:57.604,0.0,73.3999989
20-lip-2023 17:12:58.603,0.0,73.3999989
20-lip-2023 17:12:59.604,0.0,73.3999989
20-lip-2023 17:13:00.603,0.0,73.3999989
20-lip-2023 17:13:01.603,0.0,73.3999989
20-lip-2023 17:13:02.603,0.0,75.19999886
20-lip-2023 17:13:03.604,0.0,75.19999886
20-lip-2023 17:13:04.603,0.0,75.19999886
20-lip-2023 17:13:05.604,0.0,75.19999886
20-lip-2023 17:13:06.603,0.0,75.19999886
20-lip-2023 17:13:07.603,0.0,75.19999886
20-lip-2023 17:13:08.603,0.0,76.99999881
20-lip-2023 17:13:09.604,0.0,76.99999881
20-lip-2023 17:13:10.605,0.0,76.99999881
20-lip-2023 17:13:11.605,0.0,76.99999881
20-lip-2023 17:13:12.605,0.0,76.99999881
20-lip-2023 17:13:13.605,0.0,76.99999881
20-lip-2023 17:13:14.605,0.0,76.99999881
20-lip-2023 17:13:15.605,0.0,76.99999881
20-lip-2023 17:13:16.608,0.0,78.79999876
20-lip-2023 17:13:17.608,0.0,78.79999876
20-lip-2023 17:13:18.609,0.0,78.79999876
20-lip-2023 17:13:19.609,0.0,78.79999876
20-lip-2023 17:13:20.609,0.0,78.79999876
20-lip-2023 17:13:21.609,0.0,78.79999876
20-lip-2023 17:13:22.609,0.0,78.79999876
20-lip-2023 17:13:23.609,0.0,80.59999871
20-lip-2023 17:13:24.610,0.0,80.59999871
20-lip-2023 17:13:25.612,0.0,80.59999871
20-lip-2023 17:13:26.612,0.0,80.59999871
20-lip-2023 17:13:27.612,0.0,80.59999871
20-lip-2023 17:13:28.614,0.0,80.59999871
20-lip-2023 17:13:29.615,0.0,80.59999871
